"artist","album","track","audio","img"
"Любомир Мельник","Fallen Trees","Requiem for a Fallen Tree","Lubomyr_Melnyk_Requiem_for_a_Fallen_Tree.mp3","https://toloka.to/photos/181124075905385484_f0_0.jpg"
"Мало","Як є","","","https://notatky.com.ua/wp-content/uploads/malo_3000-1.jpg"
"Микола Макєєв","Бобот та енергія всесвіту","","","https://i1.sndcdn.com/artworks-000427464285-e74eja-t500x500.jpg"
"Миша","Мишtape #1","","","https://e-cdns-images.dzcdn.net/images/cover/a86a5c6ddf3202f418cf9af8bb7b8c86/200x200-000000-80-0-0.jpg"
"Наталя Мирна","Сильною буду","","","https://toloka.to/photos/1810181213212760_f0_0.jpg"
"Неизвестность.","Хайпаголик 2","","","https://i1.sndcdn.com/artworks-000337224099-70cl2f-t500x500.jpg"
"Нумер 482","ДРУ","","","https://rock.ua/rockdb/i/cd/full/1165-dru.jpg"
"Останній Притулок","Кімната","","","https://notatky.com.ua/wp-content/uploads/pritulok-400.jpg"
"Павел Игнатьев","Колокола души","","","https://e-cdns-images.dzcdn.net/images/cover/f7517482ae6d904b096fb24fae76128d/500x500.jpg"
"ПИРЯТИН","Атентат","","","https://upload.wikimedia.org/wikipedia/uk/thumb/4/4c/%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png/250px-%D0%9F%D0%B8%D1%80%D1%8F%D1%82%D0%B8%D0%BD-%D0%90%D1%82%D0%B5%D0%BD%D1%82%D0%B0%D1%82.png"
"правила поведения с пьяным мужем","том III","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/q0v-ucixf_g.jpg"
"Псючий Син","ТОРБА","","","https://f4.bcbits.com/img/a4210461279_16.jpg"
"Руки'в Брюки","Jumpin' & Humpin'","Back on the Road Again","RvB_Back_on_the_Road_Again.mp3","https://f4.bcbits.com/img/a1274563867_16.jpg"
"Сергій Бабкін","Музасфера","","","https://m.clutch.ua/wp-content/uploads/2018/10/39370556_256876758490031_6442726530342124189_n.jpg"
"Січгарт","Честь та Кров","","","https://f4.bcbits.com/img/a1427614514_10.jpg"
"СКАЙ","Рідкісні птахи","","","https://upload.wikimedia.org/wikipedia/uk/thumb/a/aa/%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg/250px-%D0%A1%D0%BA%D0%B0%D0%B9_-_%D1%80%D1%96%D0%B4%D0%BA%D1%96%D1%81%D0%BD%D1%96_%D0%BF%D1%82%D0%B0%D1%85%D0%B8.jpg"
"СОЮЗ","Это все совсем не то","Офисная","СОЮЗ_Офисная.mp3","https://static.qobuz.com/images/covers/db/uc/uir3j4910ucdb_600.jpg"
"Счастливые люди","Датаизм","Благая весть","Schastlivye_lyudi_Blagaya_vest.mp3","https://i1.sndcdn.com/artworks-000332906001-q2ay4d-t500x500.jpg"
"Тартак","АнТАРТАКтида. Частина перша","","","https://rock.ua/rockdb/i/cd/full/1177-antartaktida_chastina_persha.jpg"
"Тінь сонця","Зачарований Світ","","","https://i1.sndcdn.com/artworks-000432261684-6ljn8e-t500x500.jpg"
"ТНМК","7","Хоббіт","ТНМК_Хоббіт.mp3","https://notatky.com.ua/wp-content/uploads/tnmk-seven-cover-400.jpg"
"Фіолет","Aurora","","","https://notatky.com.ua/wp-content/uploads/aurora-400.jpg"
"Хамерман Знищує Віруси","Лой","","","https://f4.bcbits.com/img/a1869747531_16.jpg"
"ХАС","Мегаполіс","","","http://notatky.com.ua/wp-content/uploads/has-lp-400.jpg"
"Христина Соловій","Любий Друг","","","https://toloka.to/photos/181026121543804752_f0_0.jpg"
"Человек-Животное","Мощи Олдскула","","","https://liroom.com.ua/wp-content/uploads/2018/07/image-499x500.jpg"
"Ядерна Могила","DODECAGON","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/40619437_2174470662837616_9124433681325228032_n.jpg"
"1914","The Blind Leading The Blind","","","https://f4.bcbits.com/img/a3668139661_10.jpg"
"044 Rose","ROSE 044","","","https://fastfoodmusic.com/wp-content/uploads/2018/11/dGwSYqB7D_w.jpg"
"2sleepy","For The Next Day","A Driver for the Night","2sleepy_A_Driver_for_the_Night.mp3","https://liroom.com.ua/wp-content/uploads/2018/11/2-2-500x500.jpg"
"8X8","New Data New Day","","","https://rock.ua/rockdb/i/cd/full/1174-new_data_new_day.jpg"
"Advokaty","23:45","23:45","Advokaty_23_45.mp3","https://rock.ua/rockdb/i/cd/full/1050-2345.jpg"
"Aero Benin","Aero Benin","Sun Always Rise","Aero_Benin_Sun_Always_Rise.mp3","https://f4.bcbits.com/img/0014279796_10.jpg"
"AGHIAZMA","Plus Ultra","","","https://toloka.to/photos/181124150853804752_f0_0.jpg"
"Alex Demian","Зорі в неоні","","","https://images.shazam.com/coverart/t406916381-b1398941960_s400.jpg"
"Alex Zakharchuk","ЖИВЕМ ОДИН РАЗ","","","http://vinyla.com.ua/files/products/alex-zakharchuk-zhivem-odin-raz.800x700.jpg?1d6952fc939f85a104853c75f447208c"
"Amphibian Man","No Surfers In My Town","","","https://f4.bcbits.com/img/a0533825538_10.jpg"
"Andrey Chmut","Smoothability","Moving Forward","Andrey_Chmut_ Moving Forward.m4a","https://images-na.ssl-images-amazon.com/images/I/710YwOmMLQL._SL1400_.jpg"
"Anna Mia Quintet","Miasophy","Anna Mia Quintet - Character","Anna_Mia_Quintet_Character.mp3","https://fancymusic.ru/wp-content/uploads/2012/12/Cover50080.jpg"
"Anton Belov","Piano Works I","Woven","Anton_Belov_Woven.mp3","https://f4.bcbits.com/img/a1868104046_16.jpg"
"Artem Bemba","Airways","","","https://1.bp.blogspot.com/-2IgbmtpiygU/Wn8iR7hnssI/AAAAAAAAFDw/U0UzlSv0avQ4bNsa2WKcdC_-VVT_q3wkQCLcBGAs/s320/folder.jpg"
"Atomic Simao","Levitation Loom Four","Paper Towers","Atomic_Simao_Paper_Towers.mp3","https://karabas.live/wp-content/uploads/2018/12/47345209_369567920464006_630201534889590784_n.jpg"
"Balaklava Blues","FLY","","","https://l.facebook.com/l.php?u=https%3A%2F%2Fnotatky.com.ua%2Fwp-content%2Fuploads%2Ffly-400.jpg%3Ffbclid%3DIwAR1I-q5tJSSTEvcIE5qkhiLQYxN9-Tv6fRxdtF00nHQrIZDNVPzE12wYtqU&h=AT1sUxYCFrS_DW_q0-TcigX63pxuXqI37_bjECuRu_2_8pNCSdPOr0c25tZ_W1cyXdGAvUyx-8_l-AjrwXHkFvA9uTE1FPP2oL5YGNvPpN1Po2SElZZ9yWTt0xAjmg"
"Banned society","Candy","No My Faces (feat. Marzena Slowik)","banned_society_No_My_Faces_(feat._Marzena_Slowik).mp3","https://images-na.ssl-images-amazon.com/images/I/51kxZ2uCB%2BL._SS500.jpg"
"Barkasth","Decaying","","","https://f4.bcbits.com/img/a2291918888_10.jpg"
"Bichkraft","800","","","https://f4.bcbits.com/img/a4238537535_16.jpg"
"Blooms Corda","Fog Lavender","Moya california","Blooms_Corda_Moya_california.mp3","https://i1.sndcdn.com/avatars-000527218128-mqm07c-t500x500.jpg"
"BRAT","V$TAVЛЯЄ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2229912206_10_1.jpg"
"Bria Blessing & ShockolaD","Ivasyuk","","","https://direct.rhapsody.com/imageserver/images/Alb.330395506/500x500.jpg"
"BSxBC","Cave Canem","","","https://f4.bcbits.com/img/a1847245228_16.jpg"
"BUNHT","OPEN","","","https://avatars.yandex.net/get-music-content/193823/e9134d5e.a.5647581-1/m1000x1000"
"Cancel band & DJ Shon","Movement","Dust","The_Cancel_&_DJ_Shon_Dust.mp3","https://f4.bcbits.com/img/a1376510507_16.jpg"
"Cape Cod","Echoes","Echo 3","Cape_Cod_Echo_3.mp3","https://i1.sndcdn.com/artworks-000412022217-rrqn5f-t500x500.jpg"
"CEPASA","Dark Beauty","Dark Beauty","Cepasa_Dark_Beauty.mp3","https://toloka.to/photos/181220211919804752_f0_0.jpg"
"CHSZM","Love","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2850684743_10_0.jpg"
"CODÂNE","Реалізм","","","https://toloka.to/photos/181123131836804752_f0_0.jpg"
"Coven","Black Dahlia (Dahlia Murder)","","","https://images-na.ssl-images-amazon.com/images/I/61mMCTGV0XL._SS500.jpg"
"Cuckoo's Nest","tales of human being","","","https://f4.bcbits.com/img/a1268278301_10.jpg"
"Daamage","Зло Употребляй","","","https://i1.sndcdn.com/artworks-000356486577-jg6pue-t500x500.jpg"
"DaKooka","Герой","Герой","daKooka_Герой.mp3","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg"
"Danny Delta","НАВИДЖУ","","","https://toloka.to/photos/181024120513804752_f0_0.jpg"
"Dark Side Trio","Old Bookcase","City of the Large Squares","Dark_Side_Trio_City_of_the_Large_Squares.mp3","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg"
"Dead Faith","Mourning Star","","","https://f4.bcbits.com/img/a0988329775_16.jpg"
"Deadly Oak","Existential Crisis (Red Lust​-​Phobia)","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4147764518_10.jpg"
"Delta Arthur","Trappin in Ukraine","","","https://f4.bcbits.com/img/a2190904254_10.jpg"
"DETACH","D.R.A.M.A","","","https://toloka.to/photos/181129132257804752_f0_0.jpg"
"DoZa","Shaman's movie","","","https://images-na.ssl-images-amazon.com/images/I/51DcqgQ0atL._SS500.jpg"
"Drezden","""DREZDEN""","","","https://upload.wikimedia.org/wikipedia/ru/thumb/e/e8/Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg/270px-Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg"
"Dronny Darko & Apollonius","The Sea of Potentials","","","https://f4.bcbits.com/img/a1502897231_10.jpg"
"Drudkh","Їм часто сниться капіж","","","https://f4.bcbits.com/img/a3778239288_16.jpg"
"Drunk Diver","Палеоліт","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2246908427_10.jpg"
"E.K.A.","1","","","https://toloka.to/photos/181127165048804752_f0_0.jpg"
"Edward Sol & Stuart Chalmers","Syncopated Soundmirror","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1293727876_10.jpg"
"Electric Pussy","Heroin","","","https://f4.bcbits.com/img/0013392964_10.jpg"
"Endless Melancholy","Fragments of Scattered Whispers","","","https://f4.bcbits.com/img/a1276297634_16.jpg"
"Evgeny Khmara","The Wheel of Life","","","https://images-na.ssl-images-amazon.com/images/I/51TXb6SkFfL._SS500.jpg"
"Filin","Прокинься","","","https://i1.sndcdn.com/artworks-000462704160-gqr6su-t500x500.jpg"
"Foa Hoka","Fon - Fonogram - Fonissimon","","","https://f4.bcbits.com/img/a1534782742_16.jpg"
"Folknery","Son","","","https://i1.sndcdn.com/avatars-000444025386-t5v9ps-t500x500.jpg"
"Fontaliza","Фірмові рухи","","","https://notatky.com.ua/wp-content/uploads/fonta-firmovi-ruh-400.jpg"
"FRANCO","Тремор","","","https://notatky.com.ua/wp-content/uploads/franco-trmor-400.jpg"
"Freel","Спалах","Хочеш приїду","Freel_Хочеш_приїду.mp3","https://notatky.com.ua/wp-content/uploads/spalah-400.jpg"
"Galafo x Симптом(НЖН)","VERUM","","","https://i1.sndcdn.com/artworks-000363844701-h22ohd-t500x500.jpg"
"Gamardah Fungus","Crossing The Wasteland","Smoke over Domes","Gamardah_Fungus_Smoke_over_Domes.mp3","https://f4.bcbits.com/img/a2531966832_16.jpg"
"Garden Krist","Change of State","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/0eqaetBxD_c.jpg"
"General Sherman","Welcome to Almost There","","","https://direct.rhapsody.com/imageserver/images/Alb.327692131/500x500.jpg"
"Gerollds","Місце під сонцем","","","https://static.qobuz.com/images/covers/sa/23/or64au94s23sa_300.jpg"
"GG ГуляйГород","Ethno EnerGGy","","","https://notatky.com.ua/wp-content/uploads/gg-lp-400.jpg"
"Golos","Lost In Tape","","","https://f4.bcbits.com/img/a3933793838_16.jpg"
"Hains Point","Symmetry","","","https://images-na.ssl-images-amazon.com/images/I/61PJdalkmbL._SS500.jpg"
"Heartprints","See It All","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/cover%20%282%29_1.jpg"
"Heinali","Iridescent","Iridescent","Heinali_Iridescent.mp3","https://assets.boomkat.com/spree/products/533512/large/192562903995.jpg"
"Hudaki Village Band","YO!","From Khust to Sighet","Hudaki_village_band_From_Khust_to_Sighet.mp3","https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a4/da/55/a4da55bb-08af-86ae-545c-e2d71baa64c9/193428262881.jpg/626x0w.jpg"
"I N G R E T","Не спи","","","https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-9/43687249_548807408889935_224736049253842944_n.jpg?_nc_cat=103&_nc_ht=scontent-frx5-1.xx&oh=d84ed145a95476061f23c5187a7c03d0&oe=5CA8DDF6"
"Indytronics (INDT)","Palace","Savannah Only Temple","INDT_Savannah_Only_Temple.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/releases/42140103642_44c33eeefb_o.jpg"
"Inner Suffering","Slow Dance On The Ashes Of Failure","","","https://f4.bcbits.com/img/a0215637546_16.jpg"
"Ivan NAVI","Такі Молоді","","","http://radioclub.ua/thumb/og_image_600x315_song/images/songs/2016/63/5b/58298a4de1088_58298a4c841b2.jpg"
"Ivan Блюz & Ігор Набаранчук","Наше останнє","","","https://i.ytimg.com/vi/2aEsR8jVtVk/maxresdefault.jpg"
"Jamala","Крила","Hvili","Jamala_Hvili.mp3","https://yt3.ggpht.com/a-/AN66SAyal4UOP_mRAWdQ9PsZaopKiTWmno-UpC59xA=s900-mo-c-c0xffffffff-rj-k-no"
"Jinjer","Cloud Factory","Bad Water","Jinjer_Bad_Water.mp3","https://images.genius.com/bc6a0e3c5666c1feb8b498c5398bfe7e.700x700x1.jpg"
"Joneser","ВІЛЬНІ","","","https://notatky.com.ua/wp-content/uploads/joneser400.jpg"
"Joryj Kłoc","KORA","","","https://f4.bcbits.com/img/a2602113520_16.jpg"
"JULINOZA","I Am Riff","","","https://notatky.com.ua/wp-content/uploads/july400.jpg"
"JULINOZA","The Conductor of Imagination","","","https://images.shazam.com/coverart/t107137983-b1372591830_s400.jpg"
"KAZKA","KARMA","","","https://notatky.com.ua/wp-content/uploads/KAZKA_KARMA_400.jpg"
"Keepleer 18","Relictum","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2758802536_10.jpg"
"KID - S","Сльози та Вогонь","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/dd-SGah6MWY.jpg"
"King Imagine","Femininho","Femininho","King_Imagine_Femininho.mp3","https://3.bp.blogspot.com/-2VEu6EPLlSg/W9gunNsKBHI/AAAAAAAAFTY/V615SBUgnw0iXzE1tEdCnOlp8ZECx-X2gCLcBGAs/s400/%25D0%25BC%25D1%2583%25D0%25B7%25D1%258B%25D0%25BA%25D0%25B0.jpg"
"King Imagine","Next Nowhere.exe","","","http://freake.ru/uploads/music/2018-08/1533764051-3542.jpg"
"Kira Mazur","Мій Folk","","","https://notatky.com.ua/wp-content/uploads/folk-400.jpg"
"Komissiya","R.Complex","","","https://i1.sndcdn.com/artworks-000405170751-a6v3aj-t500x500.jpg"
"Kozak System","Не моя","","","https://notatky.com.ua/wp-content/uploads/ks-ne-moya400.jpg"
"Kreker","LocoMotive","","","https://f4.bcbits.com/img/a1978032873_10.jpg"
"Kroda","SELBSTWELT REMASTERED","","","https://f4.bcbits.com/img/a3677994342_16.jpg"
"KRUTЬ","Live Concert With Chamber Orchestra","Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg"
"KUBA","NO! Мене нема","","","https://i1.sndcdn.com/avatars-000481559067-84u2r6-t500x500.jpg"
"Kulakostas","Anxiety","","","https://geo-static.traxsource.com/files/images/86717c070efe4faa8b3f683083347f0f.jpg"
"Kurs Valüt","Veselo","Veselo","Kurs_Valut_Veselo.mp3","https://www.neformat.com.ua/images/imagecache/material_680w/news/a1880907266_10.jpg"
"Kyiv Ethno Trio","Kyiv Ethno Trio","","","https://images-na.ssl-images-amazon.com/images/I/51d-MIuAB5L._SS500.jpg"
"La Horsa Bianca","Somatic Schematic","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a2524263620_10.jpg"
"LATEXFAUNA","Ajahuaska","Australia","Latexfauna_Australia.mp3","https://images.genius.com/18bec85e198cec2eea3869cfaea3ce85.600x600x1.jpg"
"LAUD","Музика","Muzika","LAUD_Muzika.mp3","https://toloka.to/photos/181025122857804752_f0_0.jpg"
"Leftie","Caveman On a Date","","","http://freake.ru/uploads/music/2018-05/1527011706-6648.jpg"
"LemOjOviE","We Do","","","http://freake.ru/uploads/music/2018-02/350-1519212829-5444.jpg"
"Lutomysl","Ecce Homo","","","https://f4.bcbits.com/img/a0068071196_16.jpg"
"Lyudska Podoba","Volnydorozhkibarashki","Illuzii Svoi","Lyudska_Podoba_Illuzii_Svoi.mp3","https://f4.bcbits.com/img/a3570139740_16.jpg"
"Mamanet","Pop","","","https://i1.sndcdn.com/artworks-000450082899-0i4cdj-t500x500.jpg"
"Marakesh","Новый День","","","https://f4.bcbits.com/img/a2935581704_10.jpg"
"MARU","POMPIDOU","","","http://rs.img.com.ua/crop?v2=1&w=600&h=0&url=%2F%2Fv.img.com.ua%2Fb%2Forig%2Fd%2F96%2F8e044e50428218d298cb99d50e80e96d.jpg"
"MARUV","Black Water","","","https://mexedi.net/uploads/Maruv_-_black.jpg"
"Max Tovstyi","Mesmerize","","","https://i4.cdn.hhv.de/catalog/475x475/00609/609504.jpg"
"Mizantropia","Out of mind","","","http://www.dailymetal.com.ua/wp-content/uploads/2018/10/ivV4pOGhKJ4-1024x1024.jpg"
"Monotronique","Heat Absorber","","","https://f4.bcbits.com/img/a4105798008_10.jpg"
"MOONZOO","Sad Dance","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/46146061_313897185873503_4655654766867644416_n.jpg"
"Mountain Breeze","Say It Loud","","","https://t2.genius.com/unsafe/220x220/https%3A%2F%2Fimages.genius.com%2F1cc7b0cf39218dc30aaf1e38d33633ca.1000x1000x1.jpg"
"N.G.L.","Новий рівень гри","","","http://mhz.kiev.ua/mp3/NGL/2018%20-%20Novy%20riven%20gry/cd_b.jpg"
"Natalka Karpa","Сонцезалежна","","","https://images.shazam.com/coverart/t318405252-b1413341385_s400.jpg"
"Need Some Air","Generation","","","http://moon.ua/uploads/images/news/219/1525424480.jpg"
"Nemo 322","Х.Л.А.М.","","","http://cdbaby.name/t/i/tialb01508847_large.jpg?v=7ba0a096-1c3f-4ea5-b03a-80d04599bcbe"
"Nine Hills","TULPA","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a0744791108_10.jpg"
"NK","No Komments","","","https://avatars.yandex.net/get-music-content/119639/27c4e489.a.5807964-1/m1000x1000"
"Nooit","OA​-​I","","","https://f4.bcbits.com/img/a0177753652_10.jpg"
"Novi","Залишатися справжнім","","","https://rock.ua/rockdb/i/cd/full/1074-zalishatisya_spravjnim.jpg"
"Numero Nero","Late","","","https://f4.bcbits.com/img/a3072026893_10.jpg"
"One Planet Orchestra","Саме той час!","","","http://www.nahati.com.ua/wp-content/uploads/2018/02/One_Planet_Orchestra_Na-Hati-Records-s-300x300.jpg.pagespeed.ce.r2NZ2Ldx1l.jpg"
"ONUKA","MOZAЇKA","ANIMAL","Onuka_ANIMAL.mp3","https://i1.sndcdn.com/artworks-000321441057-5qvvj7-t500x500.jpg"
"Orest Filipov","Unseen World","","","https://f4.bcbits.com/img/a2519370656_16.jpg"
"Orpha","Orpha","","","https://f4.bcbits.com/img/a1791881131_16.jpg"
"OwlCraft","Enigmatic Dissolution","","","https://f4.bcbits.com/img/a3033304323_16.jpg"
"Palmo X","A.T.C.W.","","","https://i1.sndcdn.com/artworks-000305075274-sjtp39-t500x500.jpg"
"Paul Montero","I GIVE YOU MY","","","https://i1.sndcdn.com/avatars-000525769635-2c3b4t-t500x500.jpg"
"PIANO","Знаки","","","https://i1.sndcdn.com/artworks-000345125646-6vuezx-t500x500.jpg"
"Postman","Everything is New","Like a Child","Postman_Like_a_Child.mp3","https://img.the-village.com.ua/the-village.com.ua/post_image-image/LuxoslUMWVhsFs1mleTjGw-article.jpg"
"Pree Tone","Kiddy","","","https://f4.bcbits.com/img/a1770073286_10.jpg"
"PRID PROD","Приехали","","","https://f4.bcbits.com/img/a2906749580_10.jpg"
"Pulatova","Рой","","","https://f4.bcbits.com/img/a1206735480_16.jpg"
"Quiet Observer","Blocks of life","","","https://f4.bcbits.com/img/a3161331562_16.jpg"
"r.roo","Delicate reflex part 3","Incident with the Man Who Carries a Case","R.roo_Incident_with_the_Man_Who_Carries_a_Case.mp3","https://f4.bcbits.com/img/a1227643159_10.jpg"
"RapeKit","ClitCult","","","https://f4.bcbits.com/img/a3322433597_16.jpg"
"Raventale","Pathogenesis","","","https://f4.bcbits.com/img/a0783647610_10.jpg"
"Refinders","Skin Effect","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/_23_0.jpg"
"Relict Trauma","r∅t∅ release","","","https://f4.bcbits.com/img/a3890321513_16.jpg"
"Relict Trauma","under the Yellow sign","","","https://f4.bcbits.com/img/a0117315995_16.jpg"
"RESOLVENTA","Окаянные дни","","","https://f4.bcbits.com/img/a0840881808_10.jpg"
"Reve ta Stohne","Mythologia","","","https://toloka.to/photos/180303201302195321_f0_0.jpg"
"Riya","Ейфорія","","","https://toloka.to/photos/180919123223804752_f0_0.jpg"
"Rostyslav Voitko","Above the Crowd","","","https://i.scdn.co/image/1e4071542a4889c420fa61e4bf8e6d3d9cf26585"
"Satisfaction","Satisfaction, Vol. 1","","","https://direct.rhapsody.com/imageserver/images/Alb.327823827/500x500.jpg"
"Sectorial","VYR","","","https://noizr.com/files/page/20/5bc793888b6671.jpg"
"Sex Blender","Hormonizer","","","https://f4.bcbits.com/img/a3591851549_16.jpg"
"SHCOLA","Naїve","","","https://rock.ua/rockdb/i/cd/full/1033-naive.jpg"
"Sheetel","Mr. White","","","https://images-na.ssl-images-amazon.com/images/I/51biICauOAL._SS500.jpg"
"Sherpa the Tiger","Great Vowel Shift","","","https://f4.bcbits.com/img/a0609264172_10.jpg"
"SINOPTIK","Fields On Fire","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1160045063_10.jpg"
"Sleep in Heads","On the Air","","","http://www.dailymetal.com.ua/wp-content/uploads/2018/03/Sleep_In_Heads_cover.jpg"
"Small Depo","ДЕБИЛЬНЫЙ","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a1501599158_10.jpg"
"soda 9000","Скажи ей пусть послушает","","","https://ar.toneden.io/22331033/1cc4a2ae-50f3-4d7a-aa1e-6f4943812939"
"Somali Yacht Club","The Sea","","","https://f4.bcbits.com/img/a1537465582_16.jpg"
"Soom","Djebars","","","https://cdn.mp3xa.pw/proxy-static/pp.userapi.com/c845418/v845418587/6b42e/P6VhkBfre4E.jpg"
"Space Of Variations","Mind Darknet","","","https://f4.bcbits.com/img/a3935901136_16.jpg"
"SpivOberta","Нові Мости","","","https://notatky.com.ua/wp-content/uploads/DDsfd-2_2-400.jpg"
"Stars & Mellow","Everywhere","","","http://overdrive.com.ua/wp-content/uploads/2018/04/artworks-000299668098-s0w385-t500x500.jpg"
"Stoned Jesus","Pilgrims","Thessalia","Stoned_Jesus_Thessalia.mp3","https://f4.bcbits.com/img/a1224613244_10.jpg"
"stonefromthesky","Spirals","","","https://f4.bcbits.com/img/a3908647420_10.jpg"
"Svrm","Лихиї вітри стогнуть без упину","","","https://f4.bcbits.com/img/a3070001471_10.jpg"
"TARABAROVA","23:25","","","http://www.musicboxua.tv/wp-content/uploads/2018/09/TARABAROVA_23_25.jpg"
"The Doox","Ліра","","","https://notatky.com.ua/wp-content/uploads/doox-lira400.jpg"
"The Hardkiss","Залізна ластівка","","","https://upload.wikimedia.org/wikipedia/uk/thumb/6/60/The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg/250px-The_Hardkiss_-_%D0%97%D0%B0%D0%BB%D1%96%D0%B7%D0%BD%D0%B0_%D0%BB%D0%B0%D1%81%D1%82%D1%96%D0%B2%D0%BA%D0%B0.jpg"
"THE INFESTATION","Fractal Delusion","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/cover_22.jpg"
"The Nietzsche","Live 201","","","https://f4.bcbits.com/img/a3115109261_10.jpg"
"The Orchestra Of Mirrored Reflections","Narrow Escape","","","https://f4.bcbits.com/img/a3108677677_16.jpg"
"The Room Without Sun","One More Time With Feelings","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a2717380948_10_0.jpg"
"The Troubled","Spacing Away","","","https://www.neformat.com.ua/images/imagecache/material_680w/news/a3411925714_10.jpg"
"Transильванія","Dance Elements","","","https://i.scdn.co/image/d2a39e16a3eb64f96e89132b10db8f2daa4ce76d"
"Troye Zillia","Paradise Birds","","","https://notatky.com.ua/wp-content/uploads/troye-p.jpg"
"Twelves","It's Safer On The Outside","","","https://f4.bcbits.com/img/a1130294195_10.jpg"
"TYUPA","SKELI","","","https://notatky.com.ua/wp-content/uploads/tyupa-lp-cover-400.jpg"
"Ulvegr","Vargkult","","","http://www.metal-tracker.com/cache_images/details/2234690.jpg"
"US Orchestra","I","","","https://f4.bcbits.com/img/a3716683694_16.jpg"
"Vakula","Metaphors","","","https://i1.sndcdn.com/artworks-000214862806-gx74jy-t500x500.jpg"
"Viu Viu","FAKE BOY","","","http://rhyme.ru/wp-content/uploads/2018/10/D5jDVVj7PW4-400x400.jpg"
"Vivienne Mort","Досвід","","","https://notatky.com.ua/wp-content/uploads/dosvid-400.jpg"
"Voin Oruwu","Big Space Adventure","","","https://imagesaws.juno.co.uk/300/CS686272-01A-MED.jpg"
"Voloshyna & Bushiko","10 писем к Сапфо","","","https://scontent.fiev18-1.fna.fbcdn.net/v/t1.0-9/18423728_756385914522244_6928192275539498877_n.jpg?_nc_cat=105&_nc_ht=scontent.fiev18-1.fna&oh=6f1ce5f199316479a111c515a95ec5f8&oe=5C9A7954"
"Vseravno","Ключ ко всему","","","http://xzona.su/uploads/posts/2018-02/thumbs/1519484532_11748bf712bb3e6ebe4f7f63cf6043f5.jpg"
"Way Station","The Way of Minstrel","","","https://f4.bcbits.com/img/a3806226894_16.jpg"
"Woo York","Chasing The Dream","Second Breath","Woo_York_Second_Breath.mp3","https://scontent.fiev18-1.fna.fbcdn.net/v/t1.0-9/31948851_1255898851206785_3604929633952202752_n.jpg?_nc_cat=109&_nc_ht=scontent.fiev18-1.fna&oh=5396ec8146018e3cea35257c3e08231e&oe=5C9BF19F"
"Yotsuya Kaidan","Крошка​-​комета","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4107519467_10.jpg"
"YUKO","DURA?","YARYNO","YUKO_YARYNO.mp3","https://i1.sndcdn.com/artworks-000448515327-59b3vv-t500x500.jpg"
"Yuriy Seredin","Asylum Search","Asylum Search","Yuriy_Seredin_Asylum_Search.mp3","https://images-na.ssl-images-amazon.com/images/I/61avmspP3eL._SS500.jpg"
"ZAVOLOKA","Promeni","","","https://f4.bcbits.com/img/a1015221388_10.jpg"
